,relation,periode,effectif
0,Australia-Australia,1701-1850,0
1,Australia-Australia,1851-1900,0
2,Australia-Australia,1901-1950,0
3,Australia-Australia,1951-2020,1
4,Australia-South Africa,1701-1850,0
5,Australia-South Africa,1851-1900,0
6,Australia-South Africa,1901-1950,1
7,Australia-South Africa,1951-2020,0
8,Australia-United Kingdom,1701-1850,0
9,Australia-United Kingdom,1851-1900,0
10,Australia-United Kingdom,1901-1950,1
11,Australia-United Kingdom,1951-2020,0
12,Australia-United States of America,1701-1850,0
13,Australia-United States of America,1851-1900,0
14,Australia-United States of America,1901-1950,1
15,Australia-United States of America,1951-2020,0
16,Canada-Germany,1701-1850,0
17,Canada-Germany,1851-1900,0
18,Canada-Germany,1901-1950,1
19,Canada-Germany,1951-2020,0
20,China-China,1701-1850,0
21,China-China,1851-1900,0
22,China-China,1901-1950,1
23,China-China,1951-2020,0
24,Egypt-Egypt,1701-1850,0
25,Egypt-Egypt,1851-1900,0
26,Egypt-Egypt,1901-1950,1
27,Egypt-Egypt,1951-2020,0
28,Egypt-United Kingdom,1701-1850,0
29,Egypt-United Kingdom,1851-1900,1
30,Egypt-United Kingdom,1901-1950,0
31,Egypt-United Kingdom,1951-2020,0
32,Egypt-United States of America,1701-1850,0
33,Egypt-United States of America,1851-1900,0
34,Egypt-United States of America,1901-1950,2
35,Egypt-United States of America,1951-2020,0
36,France-France,1701-1850,1
37,France-France,1851-1900,0
38,France-France,1901-1950,0
39,France-France,1951-2020,0
40,Germany-Iran,1701-1850,0
41,Germany-Iran,1851-1900,0
42,Germany-Iran,1901-1950,1
43,Germany-Iran,1951-2020,0
44,Iran-Germany,1701-1850,0
45,Iran-Germany,1851-1900,0
46,Iran-Germany,1901-1950,1
47,Iran-Germany,1951-2020,0
48,Iran-Iran,1701-1850,0
49,Iran-Iran,1851-1900,0
50,Iran-Iran,1901-1950,3
51,Iran-Iran,1951-2020,0
52,Israel-Israel,1701-1850,0
53,Israel-Israel,1851-1900,0
54,Israel-Israel,1901-1950,2
55,Israel-Israel,1951-2020,0
56,Italy-Italy,1701-1850,0
57,Italy-Italy,1851-1900,0
58,Italy-Italy,1901-1950,3
59,Italy-Italy,1951-2020,0
60,Italy-United Kingdom,1701-1850,0
61,Italy-United Kingdom,1851-1900,0
62,Italy-United Kingdom,1901-1950,1
63,Italy-United Kingdom,1951-2020,0
64,Romania-Romania,1701-1850,0
65,Romania-Romania,1851-1900,0
66,Romania-Romania,1901-1950,1
67,Romania-Romania,1951-2020,0
68,Sri Lanka-United Kingdom,1701-1850,0
69,Sri Lanka-United Kingdom,1851-1900,0
70,Sri Lanka-United Kingdom,1901-1950,1
71,Sri Lanka-United Kingdom,1951-2020,0
72,United Kingdom-Australia,1701-1850,0
73,United Kingdom-Australia,1851-1900,1
74,United Kingdom-Australia,1901-1950,0
75,United Kingdom-Australia,1951-2020,0
76,United Kingdom-Italy,1701-1850,0
77,United Kingdom-Italy,1851-1900,0
78,United Kingdom-Italy,1901-1950,2
79,United Kingdom-Italy,1951-2020,0
80,United Kingdom-South Africa,1701-1850,0
81,United Kingdom-South Africa,1851-1900,0
82,United Kingdom-South Africa,1901-1950,1
83,United Kingdom-South Africa,1951-2020,0
84,United Kingdom-United Kingdom,1701-1850,0
85,United Kingdom-United Kingdom,1851-1900,0
86,United Kingdom-United Kingdom,1901-1950,7
87,United Kingdom-United Kingdom,1951-2020,1
88,United Kingdom-United States of America,1701-1850,0
89,United Kingdom-United States of America,1851-1900,0
90,United Kingdom-United States of America,1901-1950,2
91,United Kingdom-United States of America,1951-2020,0
92,United States of America-Germany,1701-1850,0
93,United States of America-Germany,1851-1900,0
94,United States of America-Germany,1901-1950,2
95,United States of America-Germany,1951-2020,0
96,United States of America-Iran,1701-1850,0
97,United States of America-Iran,1851-1900,0
98,United States of America-Iran,1901-1950,4
99,United States of America-Iran,1951-2020,0
100,United States of America-South Africa,1701-1850,0
101,United States of America-South Africa,1851-1900,0
102,United States of America-South Africa,1901-1950,1
103,United States of America-South Africa,1951-2020,0
104,United States of America-Sri Lanka,1701-1850,0
105,United States of America-Sri Lanka,1851-1900,0
106,United States of America-Sri Lanka,1901-1950,1
107,United States of America-Sri Lanka,1951-2020,0
108,United States of America-United Kingdom,1701-1850,0
109,United States of America-United Kingdom,1851-1900,0
110,United States of America-United Kingdom,1901-1950,4
111,United States of America-United Kingdom,1951-2020,0
112,United States of America-United States of America,1701-1850,0
113,United States of America-United States of America,1851-1900,0
114,United States of America-United States of America,1901-1950,44
115,United States of America-United States of America,1951-2020,0
